Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр,Обработанный текст,Токенизированный текст,Лематизированный текст,Токенезированный текст 2,Кластер,Категория кластера,Категория кластера моделирование
Форрест Гамп,1994,2h 22m,"История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.",8.8,United States,"Drama, Romance","история соединенных штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из алабамы с iq из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.","история соединенных штатов 1950 -х годов 70 -х годов разворачивается точки зрения мужчины алабамы iq 75 лет , жаждет воссоединиться своей детской возлюбленной .","история соединить штат 1950 -х год 70 -х год разворачиваться точка зрение мужчина алабама iq 75 год , жаждать воссоединиться свой детский возлюбить .","['история', 'соединенных', 'штатов', '1950', '-х', 'годов', '70', '-х', 'годов', 'разворачивается', 'точки', 'зрения', 'мужчины', 'алабамы', 'iq', '75', 'лет', ',', 'жаждет', 'воссоединиться', 'своей', 'детской', 'возлюбленной', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Властелин колец: Две крепости,2002,2h 59m,"В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.",8.8,"New Zealand, United States","Adventure, Drama, Fantasy","в то время как фродо и сэм эдж ближе к мордору с помощью shifty gollum, разделенное общение выступает против нового союзника саурона, сарумана и его полщиков исигарда.","время фродо сэм эдж ближе мордору помощью shifty gollum , разделенное общение выступает против нового союзника саурона , сарумана полщиков исигарда .","время фродый сэм эдж близкий мордору помощь shifty gollum , разделить общение выступать против новый союзник саурон , сарумана полщиковы исигарда .","['время', 'фродо', 'сэм', 'эдж', 'ближе', 'мордору', 'помощью', 'shifty', 'gollum', ',', 'разделенное', 'общение', 'выступает', 'против', 'нового', 'союзника', 'саурона', ',', 'сарумана', 'полщиков', 'исигарда', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Бойцовский клуб,1999,2h 19m,"Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.",8.8,"Germany, United States",Drama,"офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.","офисный работник бессонницы производитель мыльной помощи дьяволам образуют подземный бой-клуб , превращается гораздо .","офисный работник бессонница производитель мыльный помощь дьявол образовать подземный бой-клуб , превращаться гораздо .","['офисный', 'работник', 'бессонницы', 'производитель', 'мыльной', 'помощи', 'дьяволам', 'образуют', 'подземный', 'бой-клуб', ',', 'превращается', 'гораздо', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Начало,2010,2h 28m,"Вор, который крадет корпоративные секреты благодаря использованию технологии обмена мечтами, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обречь проект и его команду в катастрофу.",8.8,"United States, United Kingdom","Action, Adventure, Sci-Fi","вор, который крадет корпоративные секреты благодаря использованию технологии обмена мечтами, дает обратную задачу посадки идеи в сознание c.e.o., но его трагическое прошлое может обречь проект и его команду в катастрофу.","вор , крадет корпоративные секреты благодаря использованию технологии обмена мечтами , дает обратную задачу посадки идеи сознание c.e.o. , трагическое прошлое обречь проект команду катастрофу .","вор , красть корпоративный секрет благодаря использование технология обмен мечта , давать обратный задача посадка идея сознание c.e.o . , трагический прошлое обречь проект команда катастрофа .","['вор', ',', 'крадет', 'корпоративные', 'секреты', 'благодаря', 'использованию', 'технологии', 'обмена', 'мечтами', ',', 'дает', 'обратную', 'задачу', 'посадки', 'идеи', 'сознание', 'c.e.o.', ',', 'трагическое', 'прошлое', 'обречь', 'проект', 'команду', 'катастрофу', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,2h 4m,"После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.",8.7,United States,"Action, Adventure, Fantasy","после того, как империя одолевает альянс повстанцев, люк скайуокер начинает тренироваться с мастером джедай йода, в то время как дарт вейдер и охотник за головами боба фетт преследуют своих друзей через галактику.",", империя одолевает альянс повстанцев , люк скайуокер начинает тренироваться мастером джедай йода , время дарт вейдер охотник головами боба фетт преследуют своих друзей галактику .",", империя одолевать альянс повстанец , люк скайуокер начинать тренироваться мастер джедай йод , время дарт вейдёр охотник голова боб фетта преследовать свой друг галактика .","[',', 'империя', 'одолевает', 'альянс', 'повстанцев', ',', 'люк', 'скайуокер', 'начинает', 'тренироваться', 'мастером', 'джедай', 'йода', ',', 'время', 'дарт', 'вейдер', 'охотник', 'головами', 'боба', 'фетт', 'преследуют', 'своих', 'друзей', 'галактику', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
Матрица,1999,2h 16m,"Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.",8.7,"United States, Australia","Action, Sci-Fi","когда прекрасный незнакомец приводит компьютерного хакера нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.","прекрасный незнакомец приводит компьютерного хакера нео запрещенному подземному миру , обнаруживает шокирующую правду-жизнь , которую знает , -это сложный обман злой кибер-интеллекты .","прекрасный незнакомец приводить компьютерный хакер нео запретить подземный мир , обнаруживать шокировать правду-жизнь , который знать , -этый сложный обман злой кибер-интеллект .","['прекрасный', 'незнакомец', 'приводит', 'компьютерного', 'хакера', 'нео', 'запрещенному', 'подземному', 'миру', ',', 'обнаруживает', 'шокирующую', 'правду-жизнь', ',', 'которую', 'знает', ',', '-это', 'сложный', 'обман', 'злой', 'кибер-интеллекты', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Славные парни,1990,2h 25m,"История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.",8.7,United States,"Biography, Crime, Drama","история генри хилла и его жизни в мафии, освещая его отношения с его женой карен и его партнерами по толпике джимми конвея и томми девито.","история генри хилла жизни мафии , освещая отношения женой карен партнерами толпике джимми конвея томми девито .","история генри хилл жизнь мафия , освещать отношение жена карен партнёр толпик джимми конвеять томми девить .","['история', 'генри', 'хилла', 'жизни', 'мафии', ',', 'освещая', 'отношения', 'женой', 'карен', 'партнерами', 'толпике', 'джимми', 'конвея', 'томми', 'девито', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Пролетая над гнездом кукушки,1975,2h 13m,"Осенью 1963 года ветеран Корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.",8.7,United States,Drama,"осенью 1963 года ветеран корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.","осенью 1963 года ветеран корейской войны преступник умоляет безумие поступает психиатрическое учреждение , снимает испуганных пациентов против тиранической медсестры .","осень 1963 год ветеран корейский война преступник умолять безумие поступать психиатрический учреждение , снимать испуганный пациент против тиранический медсестра .","['осенью', '1963', 'года', 'ветеран', 'корейской', 'войны', 'преступник', 'умоляет', 'безумие', 'поступает', 'психиатрическое', 'учреждение', ',', 'снимает', 'испуганных', 'пациентов', 'против', 'тиранической', 'медсестры', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Интерстеллар,2014,2h 49m,"Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",8.7,"United States, United Kingdom, Canada","Adventure, Drama, Sci-Fi","когда в будущем земля станет необитаемой, фермеру и бывшему пилоту на nasa джозеф купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.","будущем земля станет необитаемой , фермеру бывшему пилоту nasa джозеф купер поручено пилотировать космический корабль вместе командой исследователей , найти новую планету людей .","будущее земля стать необитаемый , фермер бывший пилот nasa джозеф купер поручить пилотировать космический корабль вместе команда исследователь , найти новый планета человек .","['будущем', 'земля', 'станет', 'необитаемой', ',', 'фермеру', 'бывшему', 'пилоту', 'nasa', 'джозеф', 'купер', 'поручено', 'пилотировать', 'космический', 'корабль', 'вместе', 'командой', 'исследователей', ',', 'найти', 'новую', 'планету', 'людей', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Семь,1995,2h 7m,"Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.",8.6,United States,"Crime, Drama, Mystery","два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.","детектива , новичок ветеран , охотятся серийного убийцы , использует семь смертельных грехов качестве своих мотивов .","детектив , новичок ветеран , охотиться серийный убийца , использовать семь смертельный грех качество свой мотив .","['детектива', ',', 'новичок', 'ветеран', ',', 'охотятся', 'серийного', 'убийцы', ',', 'использует', 'семь', 'смертельных', 'грехов', 'качестве', 'своих', 'мотивов', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Эта замечательная жизнь,1946,2h 10m,"Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.",8.6,United States,"Drama, Family, Fantasy","ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.","ангела посылают небес , помочь отчаянно разочарованному бизнесмену , показав , жизнь , существовал .","ангела посылать небо , помочь отчаянно разочаровать бизнесмен , показать , жизнь , существовать .","['ангела', 'посылают', 'небес', ',', 'помочь', 'отчаянно', 'разочарованному', 'бизнесмену', ',', 'показав', ',', 'жизнь', ',', 'существовал', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Семь самураев,1954,3h 27m,"Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.",8.6,Japan,"Action, Drama","фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.","фермеры деревни , эксплуатируемой бандитами , нанимают ветеран -самурай защиты , собирает шесть других самураев , присоединиться нему .","фермер деревня , эксплуатировать бандит , нанимать ветеран -самурай защита , собирать шесть другой самурай , присоединиться он .","['фермеры', 'деревни', ',', 'эксплуатируемой', 'бандитами', ',', 'нанимают', 'ветеран', '-самурай', 'защиты', ',', 'собирает', 'шесть', 'других', 'самураев', ',', 'присоединиться', 'нему', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Молчание ягнят,1991,1h 58m,"Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.",8.6,United States,"Crime, Drama, Horror","молодой ф.б.и. ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.","молодой ф.б.и . ка курсант должен получить помощь заключении манипулятивном убийце каннибала , помочь поймать другого серийного убийцы , сумасшедшего , скорее пострадает .","молодой ф.б.ь . ка курсант должный получить помощь заключение манипулятивный убийца каннибал , помочь поймать другой серийный убийца , сумасшедший , скорее пострадать .","['молодой', 'ф.б.и', '.', 'ка', 'курсант', 'должен', 'получить', 'помощь', 'заключении', 'манипулятивном', 'убийце', 'каннибала', ',', 'помочь', 'поймать', 'другого', 'серийного', 'убийцы', ',', 'сумасшедшего', ',', 'скорее', 'пострадает', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Спасти рядового Райана,1998,2h 49m,"После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.",8.6,United States,"Drama, War","после посадки в нормандии группа солдат сша идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.","посадки нормандии группа солдат сша идет вражеской линии , забрать десантник , чьи братья убиты бою .","посадка нормандия группа солдат сша идти вражеский линия , забрать десантник , чей брат убить бой .","['посадки', 'нормандии', 'группа', 'солдат', 'сша', 'идет', 'вражеской', 'линии', ',', 'забрать', 'десантник', ',', 'чьи', 'братья', 'убиты', 'бою', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Город Бога,2002,2h 10m,"В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.",8.6,"Brazil, France","Crime, Drama","в трущобах рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.","трущобах рио детских путях расходятся , пытается стать фотографом , - королем .","трущоба рио детский путь расходиться , пытаться стать фотограф , - король .","['трущобах', 'рио', 'детских', 'путях', 'расходятся', ',', 'пытается', 'стать', 'фотографом', ',', '-', 'королем', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Зелёная миля,1999,3h 9m,"Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.",8.6,United States,"Crime, Drama, Fantasy","смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.","смертельный охранник узнает , нежный гигант атаке обладает таинственным подарком .","смертельный охранник узнать , нежный гигант атака обладать таинственный подарок .","['смертельный', 'охранник', 'узнает', ',', 'нежный', 'гигант', 'атаке', 'обладает', 'таинственным', 'подарком', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Жизнь прекрасна,1997,1h 56m,"Когда открытый еврейский официант и его сын становятся жертвами Холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",8.6,Italy,"Comedy, Drama, Romance","когда открытый еврейский официант и его сын становятся жертвами холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.","открытый еврейский официант сын становятся жертвами холокоста , использует идеальную смесь воли , юмора воображения , защитить своего сына опасностей вокруг лагеря .","открытый еврейский официант сын становиться жертва холокост , использовать идеальный смесь воля , юмор воображение , защитить свой сын опасность вокруг лагерь .","['открытый', 'еврейский', 'официант', 'сын', 'становятся', 'жертвами', 'холокоста', ',', 'использует', 'идеальную', 'смесь', 'воли', ',', 'юмора', 'воображения', ',', 'защитить', 'своего', 'сына', 'опасностей', 'вокруг', 'лагеря', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
